Giorno,Var,€
2023-08-07,12.737279713641614,19165.337551319073
2023-08-06,3.3676050440639336,19810.750425409173
2023-08-05,-0.04066256205131138,19802.69486672461
2023-08-04,0.8993000839091683,19980.78051827734
2023-08-03,2.334373724425233,20447.206608631084
2023-08-02,8.632007641429963,22212.21104554709
2023-08-01,-1.3351166094304112,21915.652126556255
2023-07-31,2.989631491159275,22570.8493640247
2023-07-30,10.160098345719643,24864.069856873844
2023-07-29,-0.9794015391723605,24620.55077399473
2023-07-28,-1.5698150911193804,24234.053652427854
2023-07-27,0.7078003288940751,24405.582363884107
2023-07-26,-0.9857102463693437,24165.01403783719
2023-07-25,0.01430375918528085,24168.470543252253
2023-07-24,-4.171231601501297,23160.347662352582
2023-07-23,6.706988547121396,24713.709527540068
2023-07-22,0.5082277743902506,24839.311463441158
2023-07-21,4.455165612326825,25945.943926099142
2023-07-20,1.497699269556817,26334.53613875995
2023-07-19,0.8826457149464194,26566.976793539732
2023-07-18,0.46637231249718775,26690.877817572356
2023-07-17,6.119287926189988,28324.169481257184
2023-07-16,-0.02180772664263366,28317.992623802915
2023-07-15,-0.043420014047824286,28305.696947427597
2023-07-14,-2.07124146821066,27719.41761438644
2023-07-13,0.2315188297060994,27783.593285648614
2023-07-12,-2.813581215948613,27001.879323848043
2023-07-11,3.385444099010161,27916.0128540391
2023-07-10,-2.138143358504139,27319.128479241303
2023-07-09,0.9946332853221191,27590.85362435575
2023-07-08,-0.7017322882871395,27397.239695859604
2023-07-07,-1.743174090292805,26919.658112025965
2023-07-06,2.025578158010042,27464.93682695414
2023-07-05,7.632410984692123,29561.17368227334
2023-07-04,1.869033359203029,30113.681879766977
2023-07-03,0.3734692591992871,30226.14722440097
2023-07-02,6.209973326409483,32103.18290463753
2023-07-01,-3.7578888683943372,30896.780967863884
2023-06-30,-2.128434855337386,30239.16311256662
2023-06-29,-0.9576790933952846,29949.56896941987
2023-06-28,-1.8788045583788573,29386.87510240759
2023-06-27,-10.619732973175536,26266.067437371297
2023-06-26,2.4389597484340664,26906.68624966533
2023-06-25,-0.6707637974644771,26726.20593920522
2023-06-24,0.0578478364687654,26741.66647111124
2023-06-23,1.258870577017019,27078.309442120084
2023-06-22,-11.79563704288651,23884.25034297793
2023-06-21,0.1329231834257825,23915.998048871203
2023-06-20,8.683324002700981,25992.701647934333
2023-06-19,-16.20043828960922,21781.770057658494
2023-06-18,5.7869042723787265,23042.260239724845
2023-06-17,5.86972561012476,24394.777690167568
2023-06-16,-3.622527301708294,23511.070208150202
2023-06-15,-1.6101590863258572,23132.50457490122
2023-06-14,-0.12517653647302954,23103.548106874896
2023-06-13,4.998137482658488,24258.295204628645
2023-06-12,3.034756438923414,24994.475380324162
2023-06-11,0.7420041714256215,25179.93543027212
2023-06-10,-0.16705036679501986,25137.8722557771
2023-06-09,1.3821854127367452,25485.324259168847
2023-06-08,11.210732024361263,28342.4156674038
2023-06-07,-3.3106563998831904,27404.0956692294
2023-06-06,0.029921250272092213,27412.295317279393
2023-06-05,-0.35745350896646677,27314.30910577953
2023-06-04,13.400706202538542,30974.619420298273
2023-06-03,-4.1569643098181315,29687.01554589448
2023-06-02,4.6347118259725875,31062.92316617837
2023-06-01,0.906328710840903,31344.455357259896
2023-05-31,0.04789336917164374,31359.46727297899
2023-05-30,-7.8059923395545185,28911.549659925142
2023-05-29,-0.0052565088134968185,28910.02992176915
2023-05-28,-7.139892216147127,26845.88494569895
2023-05-27,6.530372612751002,28599.021263843515
2023-05-26,-1.5248144627524423,28162.939251406784
2023-05-25,4.1847181909883515,29341.478893377403
2023-05-24,12.756629632697646,33084.46268456171
2023-05-23,-0.4170723494055814,32946.47653875499
2023-05-22,-9.32282241552545,29874.935038874108
2023-05-21,-0.8878245098051375,29609.698043310622
2023-05-20,6.51056801162258,31537.457572456442
2023-05-19,0.6902366867786958,31755.140674698803
2023-05-18,-2.5510395771895236,30945.054468295028
2023-05-17,-3.6227931018572157,29823.979169651677
2023-05-16,-0.5540745047821275,29658.732104761104
2023-05-15,-7.486744252455802,27438.25868355664
2023-05-14,-0.316511677339818,27351.413390764475
2023-05-13,0.9131135267116947,27601.16284618238
2023-05-12,-1.4032492810515205,27213.849726981465
2023-05-11,0.2041967532453623,27269.419524557034
